Working,51.5,21.9,7.88,5
Work-related activities,0.5,0.3,-3,-3
Other income-generating activities,1.1,1.4,-3,2.68
Job search and interviewing,2.7,0.9,2.08,-3
Travel related to work,46,14.2,0.77,0.65
Educational activities,9.4,5.3,6.12,3.85
Attending class,7.1,0.9,5.08,-3
Homework and research,6.2,4.4,2.66,3.35
Travel related to education,6.7,1.1,0.56,-3
Organizational# civic# and religious activities,11.9,20.8,1.96,2.81
Religious and spiritual activities,5.8,16.5,1.24,1.94
Volunteering (organizational and civic activities),7.1,7.5,1.91,2.57
Volunteer activities,6.9,7.5,1.94,2.57
Administrative and support activities,3.1,2.6,1.33,2.04
Social service and care activities (except medical),1.8,2.4,1.66,2.18
Indoor and outdoor maintenance# building# and cleanup activities,0.5,0.7,-3,-3
Participating in performance and cultural activities,0.3,0.8,-3,-3
Attending meetings# conferences# and training,1.1,0.7,1.89,-3
Civic obligations and participation,0.2,0,-3,-3
Travel related to organizational# civic# and religious activities,6,15.7,0.45,0.47
Leisure and sports,95.6,97.2,4.93,6.71
Socializing# relaxing# and leisure,94.5,96.7,4.47,6
Socializing and communicating,36.4,45.6,1.44,2.42
Socializing and communicating (except social events),35.6,42.9,1.38,2.19
Attending or hosting social events,1.3,4.9,2.5,3.35
Relaxing and leisure,91.3,92.2,4,4.91
Watching TV,81.3,83.1,3.21,4
Arts and entertainment (other than sports),1.8,6.2,2.44,2.61
Sports# exercise# and recreation,19.2,18,1.61,2.16
Participating in sports# exercise# and recreation,18.8,16.8,1.56,2.03
Attending sporting or recreational events,0.8,1.5,-3,3.07
Travel related to leisure and sports,32.3,42.5,0.55,0.79
Telephone calls# mail# and e-mail,27,22.6,0.74,0.84
Telephone calls (to or from),15.5,14.9,0.73,0.78
Household and personal messages,15.9,10.3,0.52,0.66
Household and personal mail and messages,7.3,3.3,0.31,0.49
Household and personal e-mail and messages,10.2,7.5,0.59,0.7
Travel related to telephone calls,0.7,0.9,-3,-3
Other activities# not elsewhere classified,15.5,16.3,1.51,1.63
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
