Travel related to caring for and helping household members,16,7.5,0.62,0.69
Caring for and helping nonhousehold children,4.9,4.5,1.56,1.62
Caring for and helping nonhousehold adults,6.5,8.9,0.85,0.92
Caring for nonhousehold adults,0.7,0.7,1.56,-2
Helping nonhousehold adults,6,8.4,0.72,0.91
Travel related to caring for and helping nonhousehold members,8.4,9.8,0.62,0.64
Working and work-related activities,52.2,22.6,8.46,5.63
Working,50.6,20.7,7.92,5.48
Work-related activities,0.5,0.2,1.65,1.1
Other income-generating activities,0.7,1.1,2.29,2.83
Job search and interviewing,1.4,0.9,3.23,2
Travel related to work,44.1,13.5,0.77,0.63
Educational activities,9.2,5.2,6.59,3.5
Attending class,7.1,0.3,5.16,2.55
Homework and research,6.3,4.8,2.99,3.38
Travel related to education,6.5,0.8,0.58,0.47
Organizational# civic# and religious activities,11.5,19.9,1.94,2.79
Religious and spiritual activities,6.4,15.5,1.17,1.98
Volunteering (organizational and civic activities),5.8,6.8,2.11,2.71
Volunteer activities,5.7,6.8,2.12,2.71
Administrative and support activities,2.6,2.5,1.22,1.57
Social service and care activities (except medical),1.8,1.9,2.29,2.42
Indoor and outdoor maintenance# building# and cleanup activities,0.3,0.4,1.68,1.8
Participating in performance and cultural activities,0.4,0.8,2.16,3.03
Attending meetings# conferences# and training,1,0.6,1.85,2.1
Civic obligations and participation,0.1,~0,-2,-2
Travel related to organizational# civic# and religious activities,5.4,14.6,0.44,0.45
Leisure and sports,94.7,96.7,5.01,6.68
Socializing# relaxing# and leisure,93.9,95.9,4.55,5.97
Socializing and communicating,34.6,41.9,1.57,2.68
Socializing and communicating (except social events),33.8,39.5,1.51,2.46
Attending or hosting social events,1.3,4.3,2.41,3.5
Relaxing and leisure,90.3,91.1,4.06,4.89
Watching TV,79.2,79.8,3.24,4.05
Arts and entertainment (other than sports),2,5.1,2.68,2.99
Sports# exercise# and recreation,19.5,18.8,1.46,2.18
Participating in sports# exercise# and recreation,19,17.5,1.42,2.04
Attending sporting or recreational events,0.6,1.6,2.44,3.14
Travel related to leisure and sports,30.9,39.3,0.6,0.8
Telephone calls# mail# and e-mail,21.9,17.1,0.71,0.75
Telephone calls (to or from),13.2,11.5,0.76,0.77
Household and personal messages,11.8,7.2,0.44,0.52
Household and personal mail and messages,6,2.9,0.27,0.31
Household and personal e-mail and messages,6.5,4.7,0.54,0.61
Travel related to telephone calls,0.9,0.5,0.46,-2
Other activities# not elsewhere classified,17.9,16.8,1.73,1.88
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
